iter	Passed	Remaining
435	2775	3590
4436	2775	35754437	2780	35674438	2787	3562439	2800	3564
440	2807	3559
441	2814	3552
442	2820	3545
4443	2819	3530444	2831	3532
445	2838	3525
446	2844	3519
447	2851	3512
4448	2849	34974449	2856	3490450	2869	3492
451	2874	3485
452	2883	3481
453	2889	3474
454	2895	3468
455	2901	3461
456	2906	3453
457	2914	3448
458	2920	3441
459	2926	3435
460	2933	3429
461	2939	3422
462	2944	3415
463	2950	3408
464	2954	3399
465	2960	3391
466	2965	3384
467	2971	3377
468	2976	3370
469	2982	3363
470	2989	3357
471	2993	3349
472	2999	3342
473	3005	3335
474	3013	3330
475	3018	3323
476	3024	3316
477	3030	3308
478	3035	3301
479	3041	3295
480	3048	3289
481	3055	3284
482	3062	3278
483	3068	3271
484	3075	3265
485	3080	3258
486	3087	3251
487	3093	3245
488	3100	3239
489	3106	3233
490	3113	3227
491	3119	3220
492	3123	3212
493	3128	3204
494	3135	3199
495	3141	3192
496	3147	3185
497	3157	3182
498	3165	3177
499	3171	3171
500	3177	3164
501	3184	3159
502	3190	3152
503	3196	3145
504	3202	3139
505	3209	3133
506	3214	3125
507	3221	3119
508	3226	3112
509	3232	3105
510	3238	3099
511	3244	3092
512	3249	3085
513	3256	3079
514	3262	3072
515	3269	3066
516	3275	3059
517	3280	3052
518	3287	3046
519	3292	3039
520	3300	3034
521	3306	3027
522	3314	3022
523	3318	3014
524	3324	3007
525	3329	3000
526	3336	2994
527	3343	2988
528	3350	2982
529	3355	2975
530	3361	2968
531	3368	2962
532	3374	2957
533	3379	2949
534	3386	2943
535	3394	2938
536	3399	2931
537	3406	2925
538	3413	2919
539	3419	2913
540	3425	2906
541	3432	2900
542	3438	2893
543	3443	2886
544	3451	2881
545	3456	2873
546	3462	2867
547	3468	2860
548	3473	2853
549	3480	2847
550	3487	2841
551	3493	2835
552	3500	2829
553	3506	2823
554	3513	2817
555	3519	2810
556	3526	2804
557	3532	2797
558	3538	2791
559	3544	2784
560	3550	2778
561	3556	2771
562	3563	2766
563	3569	2759
564	3574	2752
565	3582	2746
566	3587	2739
