iter	RMSE
0	1.541308729
1	1.494258943
2	1.450813466
3	1.409941223
4	1.3651175
5	1.325580784
6	1.29098334
7	1.252082211
8	1.214607183
9	1.178343998
10	1.143697342
11	1.110936219
12	1.076701535
13	1.045794166
14	1.016531394
15	0.9872097163
16	0.9599986259
17	0.9342983778
18	0.9065147542
19	0.8808305533
20	0.8566583402
21	0.8332796864
22	0.8102809626
23	0.7868518472
24	0.7667762709
25	0.7470171454
26	0.7273098756
27	0.7072326876
28	0.6879374576
29	0.6703695857
30	0.6523631862
31	0.6365569484
32	0.6215520793
33	0.6052192675
34	0.5888949646
35	0.5737969008
36	0.5600539862
37	0.5468367056
38	0.5335989818
39	0.5196177883
40	0.5063518148
41	0.4934095096
42	0.4819811618
43	0.4702205934
44	0.4601117688
45	0.448972999
46	0.4389741463
47	0.42906272
48	0.4195125436
49	0.4106875875
50	0.40273963
51	0.3935064936
52	0.3845943349
53	0.37730054
54	0.3699474749
55	0.3624540583
56	0.3548037398
57	0.3477510457
58	0.339947907
59	0.3324526245
60	060	0.298383061	061	0.292330862	062	0.28673863	0.3067310286
64	064	0.2771165	0.65	0.27231766	0.66	0.26801267	0.67	0.26308468	0.68	0.25859169	0.69	0.25381870	0.70	0.24980471	0.71	0.24572472	0.72	0.24219173	0.73	0.23834474	0.74	0.23470975	0.75	0.23157576	0.76	0.22800477	0.77	0.22459578	0.78	0.2218570873
79	0.2191546428
80	0.2166474486
81	0.21369082	0.82	0.21112083	0.83	0.20861384	0.84	0.20640585	0.85	0.20406186	086	0.201413387	087	0.199382488	88	0.1971604443
89	0.1945602690	90	0.1924473991	91	0.1901040892	92	0.1883096493	93	0.1865333394	94	0.1840777995	95	0.1821834896	96	0.1799969697	97	0.1780794298	98	0.1766820999	99	0.17497327100100	0.17343502101101	0.17182117102102	0.16990149103103	0.16791840104104	0.16710666105105	0.16617702106106	0.16475379107107	0.16354011108108	0.16248015109	0.1642845548
110110	0.15954073111111	0.15849730112112	0.15769441113113	0.1566401811114	0.15554684311115	0.15419034116116	0.15319482117117	0.15171063118118	0.15053362119119	0.14972936120120	0.14874540121121	0.14776062122122	0.14671161123123	0.14565720124124	0.14485732125125	0.1443639126	126	0.1436402127	127	0.1429663128	128	0.1423713129129	0.1417415130	130	0.141253131	131	0.140599132	0132	0.139906133	0133	0.139244134	0134	0.138403135	0135	0.137632136	0136	0.136542137	0137	0.135751138	0.1323602581
139	0139	0.134493140	0.1305571493
141	0141	0.133164142	0142	0.132575143	0.1282495399
144	0.1273875323
145	0.1261567825
146	0.125634388
147	0.1248022745
148	0148	0.12931149	0.149	0.12885150	0.150	0.1282151	0.1151	0.1275152	0.1152	0.1269153	0.1153	0.1264154	0.1154	0.1257155	0.1155	0.1253156	0.1156	0.1249157	0.1157	0.1245158	0.1158	0.1242159	0.1159	0.1237160	0.1160	0.1231161	0.1161	0.1224162	0.1162	0.1219187531
163	0.1210706705
164	0.120165	0.11165	0.120166	0.11166	0.11167	0.111167	0.11168	0.111168	0.1169	0.1105169	0.1170	0.1099170	0.1171	0.1095171	0.1172	0.1091172	0.1173	0.1087173	0.1174	0.1080174	0.1159168788
175	0.1153489111
176	0.1147488061
177	0.1141491873
178	0.1138071283
179	0.1135064761
180	0.1128656132
181	0.1125969164
182	0.1122487897
183	0.1119128316
184	0.1111678266
185	0.1105258115
186	0.1100604362
187	0.1095671401
188	0.1090797025
189	0.1086528696
190	0.1079303216
191	0.1074371405
192	0.106822144
193	0.1065558155
194	0.1062093263
195	0.1058774759
196	0.1056272856
197	0.1051387538
198	0.1047061925
199	0.1044831481
200	0.1039149967
201	0.1036344063
202	0.103137234
203	0.1025456539
204	0.1021174149
205	0.1017104099
206	0.1013363748
207	0.1008178847
208	0.1006247163
209	0.1003329053
210	0.09984794433
211	0.09954893271
212	0.09935793032
213	0.09904849557
214	0.09866858569
215	0.09808797604
216	0.09764641014
217	0.09733397859
218	0.09704202702
219	0.09670239845
220	0.09645967945
221	0.09610660424
222	0.09579979611
223	0.09558917388
224	0.09534036461
225	0.09501869159
226	0.09454960587
227	0.09418609739
228	0.09378679185
229	0.09330836122
230	0.09285860882
231	0.09246648261
232	0.09211470829
233	0.09165616925
234	0.09134907859
235	0.09099744955
236	0.09062385754
237	0.09029819061
238	0.09003318244
239	0.08973003826
240	0.08931732603
241	0.08907746771
242	0.08894568604
243	0.08853139103
244	0.08829117647
245	0.0879521167
246	0.08772375748
247	0.08745227512
248	0.08723411789
249	0.08690569055
250	0.08660716521
251	0.08603613243
252	0.08576606937
253	0.08552263036
254	0.0850041807
255	0.08460112948
256	0.08436313869
257	0.08411559882
258	0.0838613639
259	0.08342835755
260	0.0831052227
261	0.08267863273
262	0.08236197573
263	0.08208185531
264	0.08191148801
265	0.08143122658
266	0.08109364676
267	0.08069835149
268	0.08035252166
269	0.080140728
270	0.0796950593
271	0.07938480008
272	0.0791795175
273	0.07881778037
274	0.07849355428
275	0.0781514102
276	0.07790555126
277	0.07755017903
278	0.07720999749
279	0.07709223607
280	0.07682898505
281	0.07655041807
282	0.07636159887
283	0.07619781666
284	0.07591891557
285	0.07560221849
286	0.07528417024
287	0.07506507665
288	0.07483274045
289	0.07454261314
290	0.07441117405
291	0.07423269678
292	0.07404902949
293	0.0736347387
294	0.07337131382
295	0.07313103073
296	0.07299911172
297	0.07274192725
298	0.07252773496
