iter	RMSE
0	1.186838845
1	1.15256256422	1.11997196
3	1.086880888
4	1.054445945
5	1.021617748
6	0.9914689135
7	0.9615237458	8	0.933996719	19	0.908401810	110	0.88259811	1.11	0.8557612	0.9804422839
13	0.949957472
14	0.9197979879
15	0.8900247895
16	0.860972808
17	0.8336394521
18	0.8075967228
19	0.781988236
20	0.7566575989
21	0.7344890633
22	0.7138836453
23	0.6921463522
24	0.6726712091
25	0.6522096607
26	0.6330281588
27	0.6142430914
28	0.5963896279
29	0.5793041308
30	0.5623962696
31	0.5452753234
32	0.5288500989
33	0.5148464968
34	0.5005022327
35	0.4860228075
36	0.4730640594
37	0.4605862294
38	0.4482115373
39	0.4363012049
40	0.424589495
41	0.4136251995
42	0.4024519932
43	0.3920629671
44	0.3822519479
45	0.3733432591
46	0.3655424147
47	0.3562751679
48	0.3479725485
49	0.3399951224
50	0.3325520446
51	0.3250696164
52	0.3174013705
53	0.3101296306
54	0.3035002418
55	0.2965417906
56	0.2896989851
57	0.2830859821
58	0.2774003927
59	0.2715830242
60	0.2666154984
61	0.2617789359
62	0.2568592016
63	0.2519563855
64	0.2476996492
65	0.243072404
66	0.238966127
67	0.23440927
68	0.2303073024
69	0.2269173735
70	0.2230395266
71	0.2194392294
72	0.2160931259
73	0.2120388678
74	0.208185229
75	0.2049980905
76	0.2022470042
77	0.1982644077
78	0.1948622764
79	0.1928280582
80	0.1901840129
81	0.1874279714
82	0.1852600424
83	0.1830964528
84	0.1810956046
85	0.179243873
86	0.1770717642
87	0.1746969375
88	0.1722661676
89	0.1701220145
90	0.1677462092
91	0.1654547346
92	0.1638243856
93	0.1617475526
94	0.1603870101
95	0.1590300795
96	0.1578023799
97	0.1564359402
98	0.1549855556
99	0.1530446391
100	0.1514957835
101	0.1503433072
102	0.1489615294
103	0.1473038549
104	0.1457447826
105	0.1447799063
106	0.1434473619
107	0.1421822537
108	0.1412223113
109	0.1399913948
110	0.1386388727
111	0.1375431542
112	0.1368303672
113	0.1359200982
114	0.1349747905
115	0.1341530144
116	0.1336367167
117	0.1328543259
118	0.13203851
119	0.1309183045
120	0.1301867063
121	0.1295690078
122	0.1287478694
123	0.1280558377
124	0.1275137453
125	0.1265349721
126	0.1254486317
127	0.1245209862
128	0.1241038459
129	0.1232548532
130	0.122619942
131	0.1220596961
132	0.1215169118
133	0.121103251
134	0.1203959983
135	0.119441451
136	0.1190679868
137	0.1187255968
138	0.1179670684
139	0.1175437171
140	0.1167398201
141	0.1163623268
142	0.1159668147
143	0.1152714466
144	0.1142191206
145	0.1135934529
146	0.1128517548
147	0.11245256014148	0.11157843414149	0.110889929150	0.1198103738
151	0.1194609133
152	0.1188583573
153	0.1184084952
154	0.1177571177
155	0.1174355206
156	0.1168600626
157	0.1162213356
158	0.1158886039
159	0.1153885721
160	0.1146775967
161	0.1140919359
162	0.1136768108
163	0.1129470375
164	0.1124964407
165	0.1118731315
166	0.1115886394
167	0.1111588883
168	0.1106483113
169	0.1102123975
170	0.1097913914
171	0.1091830448
172	0.1086698311
173	0.1082888283
174	0.1078487852
175	0.107438535
176	0.1068088863
177	0.1064944444
178	0.1059809384
179	0.1058201952
180	0.1054524056
181	0.104882404
182	0.1046704033
183	0.1044258862
184	0.104163698
185	0.1038883842
186	0.1034704245
187	0.1031938403
188	0.1027577074
189	0.1025103708
190	0.1022529967
191	0.1019343088
192	0.1014993987
193	0.1009979062
194	0.1004988181
